id,event,date,odds,stake,bet_type,outcome,sport,league,result,notes,confidence_scale,total_bets,created_at
266,Marokkó-Szenegál,2025.08.26,3.05,8913.0,1X2,Won,Football,World Cup qualification,0-0,bejött,7,1,2025-12-28T15:17:39.753876
267,"Almati-Celtic, Pafos-cvndrezda",2025.08.26,6.63,4000.0,1X2,Lost,Football,BL,"0-0,1-1",elment..,7,1,2025-12-28T15:17:39.753884
268,"Pafos-cvndrezda, Braunwseigh-Stuttgart",2025.08.26,4.68,4640.0,1X2,lost,Football,Mixed leagues,"1-1,3-3",elment..,7,1,2025-12-28T15:17:39.753891
260,"Vasas-Tiszakécske, Sampdoria-Modena",2025.08.25,4.95,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,0-2",elment..,7,1,2025-12-28T15:17:39.753898
261,"Vasas-Tiszakécske, Ejüspor-Alanyaspor",2025.08.25,5.29,3000.0,1X2,Lost,Football,Mixed leagues,"1-0,2-1",elment..,7,1,2025-12-28T15:17:39.753905
262,"Vasas-Tiszakécske, Wisla-Lubin",2025.08.25,5.54,3000.0,1X2,Lost,Football,Mixed leagues,"1-0,2-1",elment..,7,1,2025-12-28T15:17:39.753912
263,Cordoba-laspalmas,2025.08.25,3.2,4000.0,1X2,Lost,Football,La Liga 2,1-3,elment..,7,1,2025-12-28T15:17:39.753919
264,Pau-Reims,2025.08.25,3.5,4000.0,1X2,Lost,Football,Ligue 2,2-0,elment..,7,1,2025-12-28T15:17:39.753932
251,"Bielefeld-Dresda, St.mirren-Rangers",2025.08.24,3.41,10000.0,1X2,Lost,Football,Mixed leagues,"1-2,1-1",elment..,7,1,2025-12-28T15:17:39.753939
252,"Wolflberg-Rapid, Lorient-Rennes",2025.08.24,6.7,3545.0,1X2,Lost,Football,Mixed leagues,"1-2,4-0",elment..,8,1,2025-12-28T15:17:39.753946
253,"Fullham-Utd, Juventus-Parma",2025.08.24,5.36,3000.0,1X2,Won,Football,Mixed leagues,"1-1,2-0",bejött,7,1,2025-12-28T15:17:39.753952
254,"Ossasuna-Valencia, Juventus-Parma",2025.08.24,4.7,3000.0,1X2,Lost,Football,Mixed leagues,"1-0,2-0",elment..,7,1,2025-12-28T15:17:39.753960
255,Everton-Brighton,2025.08.24,3.4,4000.0,1X2,Lost,Football,Premier League,2-0,elment..,7,1,2025-12-28T15:17:39.753967
256,Strasburg-Nantes,2025.08.24,3.7,4000.0,1X2,Lost,Football,Ligue 1,1-0,elment..,7,1,2025-12-28T15:17:39.753973
257,Touluse-Brest,2025.08.24,3.45,4000.0,1X2,Lost,Football,Ligue 1,2-0,elment..,7,1,2025-12-28T15:17:39.753979
258,Gnadsk-Arka,2025.08.24,3.7,4000.0,1X2,Lost,Football,Lengyel1,1-0,elment..,7,1,2025-12-28T15:17:39.753986
259,"Catanzaro-Südtirol, Spartapraha-Duklapraha",2025.08.24,3.9,4000.0,1X2,Won,Football,Mixed leagues,"1-1,2-1",bejött,7,1,2025-12-28T15:17:39.753992
242,"Frankfurt-Beremen,Lynby-Horses",2025.08.23,5.35,3000.0,1X2,Won,Football,Mixed leagues,"4-1,0-0",bejött,7,1,2025-12-28T15:17:39.754000
243,"Frankfurt-Beremen,Hannover-Magdeburg",2025.08.23,6.03,3000.0,1X2,Lost,Football,Mixed leagues,"4-1,3-1",elment..,7,1,2025-12-28T15:17:39.754007
244,"Frankfurt-Beremen,Troyes-Montpelier",2025.08.23,5.61,3000.0,1X2,Lost,Football,Mixed leagues,"4-1,1-0",elment..,7,1,2025-12-28T15:17:39.754014
245,"OM-Parisfc,Arsenal-Leeds",2025.08.23,3.87,3000.0,1X2,Lost,Football,Mixed leagues,"5-0,5-2",elment..,8,1,2025-12-28T15:17:39.754020
246,"Sassuoli-Napoli,Empoli-Padova",2025.08.23,4.54,3000.0,1X2,Lost,Football,Mixed leagues,"0-2,3-1",elment..,8,1,2025-12-28T15:17:39.754027
247,"Nice-Auxerre, Hearts-Montrewell",2025.08.23,2.99,8000.0,1X2,Lost,Football,Mixed leagues,"3-1,3-3",elment..,8,1,2025-12-28T15:17:39.754037
248,"Plezn-Karvina, Shalke-Bochum",2025.08.23,4.47,3000.0,1X2,Lost,Football,Mixed leagues,"2-1,2-1",elment..,7,1,2025-12-28T15:17:39.754045
249,"Goangels-SpartaRotterdam,Nice-Auxerre",2025.08.23,7.03,2000.0,1X2,Lost,Football,Mixed leagues,"0-3,3-1",elment..,7,1,2025-12-28T15:17:39.754052
250,"Nice-Auxerre, Mer-St Etiene",2025.08.23,3.34,10000.0,1X2,Won,Football,Mixed leagues,"3-1,0-1",bejött,8,1,2025-12-28T15:17:39.754058
237,Alborg-Hidvore,2025.08.22,3.5,4000.0,1X2,Lost,Football,Dánia,4-0,elment..,7,1,2025-12-28T15:17:39.754066
238,"Lemans-Bastia, Puskás-Debrecen",2025.08.22,5.44,3744.0,1X2,Lost,Football,Mixed leagues,"1-0,1-3",elment..,7,1,2025-12-28T15:17:39.754073
239,"Westham-Chelsea,Pescara-Cesena",2025.08.22,5.67,4000.0,1X2,Lost,Football,Mixed leagues,"1-5,1-3",elment..,7,1,2025-12-28T15:17:39.754079
240,Elvesberg-Kaiserlautern,2025.08.22,3.55,4000.0,1X2,Lost,Football,Bundesliga2,2-1,elment..,7,1,2025-12-28T15:17:39.754086
241,Münster-Nürnberg,2025.08.22,3.4,4000.0,1X2,Lost,Football,Bundesliga2,2-1,elment..,7,1,2025-12-28T15:17:39.754093
235,"Anderlecht-Athen, Zsitomir-Uhtrect",2025.08.21,3.58,3000.0,1X2,Lost,Football,KL,"1-1,0-2",elment..,8,1,2025-12-28T15:17:39.754099
236,"Szofia-Azalkmar,Leczpozan-Genk",2025.08.21,4.57,3000.0,1X2,Won,Football,EL,"0-2,1-5",bejött,8,1,2025-12-28T15:17:39.754106
231,"Celtic-Kalmati,Arhaus-Kolding",2025.08.20,4.11,4000.0,1X2,Lost,Football,Mixed leagues,"0-0,2-2",A tuti elment..,7,1,2025-12-28T15:17:39.754114
232,"Celtic-Kalmati,Hornes-Alborg",2025.08.20,4.23,4000.0,1X2,Lost,Football,Mixed leagues,"0-0,0-1",A tuti elment..,7,1,2025-12-28T15:17:39.754121
233,"Celtic-Kalmati,Hobro-Horsens",2025.08.20,4.23,4000.0,1X2,Lost,Football,Mixed leagues,0-0.0-1,A tuti elment..,7,1,2025-12-28T15:17:39.754127
234,Győr-Rapidwien,2025.08.20,2.8,5000.0,1X2,Won,Football,KL,2-1,bejött,8,1,2025-12-28T15:17:39.754134
228,"RealMadrid-Ossasuna,Kögen-Köbenhavn2",2025.08.19,4.69,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,0-1",elment..,7,1,2025-12-28T15:17:39.754142
229,"RealMadrid-Ossasuna,Ejsberg-Alborg",2025.08.19,4.57,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,1-0",elment..,7,1,2025-12-28T15:17:39.754149
230,"RealMadrid-Ossasuna,Lungby-Hilleröd",2025.08.19,4.31,3909.0,1X2,Lost,Football,Mixed leagues,"1-0,1-2",elment..,7,1,2025-12-28T15:17:39.754156
221,"RealMadrid-Ossasuna,Kecskemét-Videoton",2025.08.18,4.5,4000.0,1X2,Lost,Football,Mixed leagues,3-1,elment..,7,1,2025-12-28T15:17:39.754163
222,"RealMadrid-Ossasuna,Odenese-Arhaus",2025.08.18,4.31,4000.0,1X2,Lost,Football,Mixed leagues,1-5,elment..,7,1,2025-12-28T15:17:39.754170
223,"RealMadrid-Ossasuna,Lemans-Montpelier",2025.08.18,4.18,4000.0,1X2,Lost,Football,Mixed leagues,1-2,elment..,7,1,2025-12-28T15:17:39.754176
224,"Persepolis-Seapasi,Leeds-Everton",2025.08.18,4.25,4000.0,1X2,Lost,Football,Mixed leagues,"1-1,1-0",IRÁNI LIGÁRA SOHA TÖBBÉ!!!,7,1,2025-12-28T15:17:39.754183
225,"Persepolis-Seapasi,Echle-Betis",2025.08.18,4.31,4000.0,1X2,Lost,Football,Mixed leagues,"1-1,1-1",IRÁNI LIGÁRA SOHA TÖBBÉ!!!,7,1,2025-12-28T15:17:39.754190
226,"Dortmund-Essen,Leeds-Everton",2025.08.18,4.03,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,1-0",elment..,7,1,2025-12-28T15:17:39.754196
227,"Dortmund-Essen,Echle-Betis",2025.08.18,3.91,4000.0,1X2,Won,Football,Mixed leagues,"1-0,1-1",bejött,7,1,2025-12-28T15:17:39.754203
210,"Chelsea-Cpalace,RealSociead2-Zaragoza",2025.08.17,5.13,3385.0,1X2,Lost,Football,Mixed leagues,"0-0,1-0",elment..,7,1,2025-12-28T15:17:39.754210
211,"Chelsea-Cpalace,Huesca-Leganes",2025.08.17,5.04,3000.0,1X2,Lost,Football,Mixed leagues,"0-0,1-1",elment..,7,1,2025-12-28T15:17:39.754217
212,"Chelsea-Cpalace,Vanspor-Erokspor",2025.08.17,5.74,3000.0,1X2,Lost,Football,Mixed leagues,"0-0,1-0",elment..,7,1,2025-12-28T15:17:39.754223
213,"Manutd-Arsenal,Spartarotterdam-Uthrect",2025.08.17,6.89,3000.0,1X2,Lost,Football,Mixed leagues,"0-1,2-1",elment..,7,1,2025-12-28T15:17:39.754230
214,"Göteborg-AIK,Nantes-PSG",2025.08.17,2.96,7000.0,1X2,Won,Football,Mixed leagues,"2-1,0-1",bejött,7,1,2025-12-28T15:17:39.754236
215,"Sporting-Aroua,Sivaspor-Bodrumspor",2025.08.17,3.9,3000.0,1X2,won,Football,Mixed leagues,"6-0,1,1",bejött,7,1,2025-12-28T15:17:39.754263
216,"Sporting-Aroua,Manisa-Hatayaspor",2025.08.17,4.02,3000.0,1X2,Lost,Football,Mixed leagues,"6-0,2-1",bejött,7,1,2025-12-28T15:17:39.754271
217,"Sporting-Aroua,Sakayaspor-Igdir",2025.08.17,4.02,3000.0,1X2,Lost,Football,Mixed leagues,6-0.3-2,elment..,7,1,2025-12-28T15:17:39.754278
218,"Wolczberg-Linz,Realsociead2-Zaragoza",2025.08.17,5.97,3000.0,1X2,Lost,Football,Mixed leagues,"3-0,1,0",elment..,7,1,2025-12-28T15:17:39.754285
219,"Wolczberg-Linz,Huesca-Leganes",2025.08.17,5.58,3000.0,1X2,Won,Football,Mixed leagues,"3-1,1-1",bejött,7,1,2025-12-28T15:17:39.754292
220,"Wolczberg-Linz,Vanspor-Erokspor",2025.08.17,6.46,3000.0,1X2,Lost,Football,Mixed leagues,"3-1,1-0",elment..,7,1,2025-12-28T15:17:39.754299
205,"Tottenham-Burnley, Annency-Dunkerque",2025.08.16,5.0,3000.0,1X2,Won,Football,Mixed leagues,"3-0,2-2",bejött,7,1,2025-12-28T15:17:39.754306
